"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","3,503.96","3,571.63","3,613.57","3,503.20","","-1.85%"
"11/01/2017","3,569.93","3,676.99","3,708.82","3,519.35","","-2.52%"
"10/01/2017","3,662.18","3,590.71","3,670.00","3,580.21","","1.87%"
"09/01/2017","3,594.85","3,425.84","3,594.85","3,396.69","","5.07%"
"08/01/2017","3,421.47","3,457.97","3,524.94","3,363.68","","-0.81%"
"07/01/2017","3,449.36","3,449.75","3,539.48","3,431.19","","0.22%"
"06/01/2017","3,441.88","3,556.18","3,615.06","3,439.79","","-3.17%"
"05/01/2017","3,554.59","3,559.59","3,666.80","3,529.35","","-0.14%"
"04/01/2017","3,559.59","3,504.26","3,593.13","3,407.33","","1.68%"
"03/01/2017","3,500.93","3,335.77","3,500.93","3,335.77","","5.46%"
"02/01/2017","3,319.61","3,243.90","3,355.40","3,214.31","","2.75%"
"01/01/2017","3,230.68","3,278.84","3,342.47","3,230.68","","-1.82%"
"12/01/2016","3,290.52","3,044.57","3,290.52","2,984.48","","7.83%"
"11/01/2016","3,051.61","3,063.20","3,105.16","2,937.98","","-0.12%"
"10/01/2016","3,055.25","2,999.19","3,109.61","2,954.45","","1.77%"
"09/01/2016","3,002.24","3,027.86","3,101.75","2,922.82","","-0.69%"
"08/01/2016","3,023.13","3,001.36","3,063.40","2,892.52","","1.08%"
"07/01/2016","2,990.76","2,874.15","3,016.82","2,742.66","","4.40%"
"06/01/2016","2,864.74","3,061.44","3,064.06","2,678.27","","-6.49%"
"05/01/2016","3,063.48","3,037.62","3,097.96","2,893.63","","1.16%"
"04/01/2016","3,028.21","2,984.36","3,156.86","2,860.32","","0.77%"
"03/01/2016","3,004.93","2,944.77","3,128.71","2,930.24","","2.01%"
"02/01/2016","2,945.75","3,048.75","3,051.84","2,672.73","","-3.26%"
"01/01/2016","3,045.09","3,266.01","3,266.01","2,855.44","","-7.39%"
"12/01/2015","3,287.98","3,509.90","3,520.03","3,137.28","","-6.23%"
"11/01/2015","3,506.45","3,404.38","3,524.04","3,326.20","","2.58%"
"10/01/2015","3,418.23","3,113.01","3,450.61","3,036.17","","10.24%"
"09/01/2015","3,100.67","3,238.95","3,326.86","2,987.47","","-5.17%"
"08/01/2015","3,269.63","3,599.21","3,686.57","2,973.16","","-9.19%"
"07/01/2015","3,600.69","3,444.20","3,714.26","3,291.39","","5.15%"
"06/01/2015","3,424.30","3,582.08","3,651.31","3,374.18","","-4.10%"
"05/01/2015","3,570.78","3,615.59","3,691.42","3,484.07","","-1.24%"
"04/01/2015","3,615.59","3,688.18","3,836.28","3,577.69","","-2.21%"
"03/01/2015","3,697.38","3,594.25","3,742.42","3,533.40","","2.73%"
"02/01/2015","3,599.00","3,356.13","3,599.00","3,321.59","","7.39%"
"01/01/2015","3,351.44","3,169.75","3,417.46","2,998.53","","6.52%"
"12/01/2014","3,146.43","3,228.68","3,278.63","2,921.73","","-3.21%"
"11/01/2014","3,250.93","3,107.80","3,250.93","3,026.41","","4.42%"
"10/01/2014","3,113.32","3,217.81","3,236.58","2,789.63","","-3.49%"
"09/01/2014","3,225.93","3,175.56","3,301.15","3,158.27","","1.68%"
"08/01/2014","3,172.63","3,118.83","3,202.85","2,977.52","","1.83%"
"07/01/2014","3,115.51","3,234.74","3,289.82","3,109.26","","-3.49%"
"06/01/2014","3,228.24","3,247.54","3,325.50","3,211.50","","-0.50%"
"05/01/2014","3,244.60","3,198.97","3,250.34","3,129.08","","1.44%"
"04/01/2014","3,198.39","3,169.49","3,239.14","3,083.43","","1.16%"
"03/01/2014","3,161.60","3,124.81","3,185.68","2,971.47","","0.39%"
"02/01/2014","3,149.23","3,012.25","3,162.95","2,944.13","","4.49%"
"01/01/2014","3,013.96","3,116.34","3,176.99","2,963.23","","-3.06%"
"12/01/2013","3,109.00","3,089.39","3,116.23","2,916.70","","0.72%"
"11/01/2013","3,086.64","3,068.73","3,106.64","2,999.25","","0.61%"
"10/01/2013","3,067.95","2,893.66","3,073.88","2,891.39","","6.04%"
